symbol,timestamp_ms,timestamp_utc,type,move_frac,open,high,low,close,volume
SAHARAUSDT,1780971525000,2026-06-09T02:18:45,low,0.06270411,0.03062000,0.03077000,0.02870000,0.02895000,1695740.00000000
SAHARAUSDT,1780971528000,2026-06-09T02:18:48,low,0.08630528,0.02804000,0.02815000,0.02562000,0.02585000,2034710.00000000
SAHARAUSDT,1780971532000,2026-06-09T02:18:52,low,0.09083503,0.02455000,0.02459000,0.02232000,0.02254000,2282497.00000000
SAHARAUSDT,1780971795000,2026-06-09T02:23:15,high,0.08294931,0.01736000,0.01880000,0.01735000,0.01785000,1108757.00000000
SAHARAUSDT,1780971862000,2026-06-09T02:24:22,low,0.07468605,0.01513000,0.01546000,0.01400000,0.01464000,6897675.00000000
SAHARAUSDT,1780971986000,2026-06-09T02:26:26,high,0.13710201,0.01539000,0.01750000,0.01526000,0.01603000,2975924.00000000
SAHARAUSDT,1780972148000,2026-06-09T02:29:08,high,0.10140093,0.01499000,0.01651000,0.01486000,0.01541000,2480217.00000000
SAHARAUSDT,1780972258000,2026-06-09T02:30:58,high,0.06402878,0.01390000,0.01479000,0.01390000,0.01435000,2026582.00000000
SAHARAUSDT,1780972275000,2026-06-09T02:31:15,high,0.08470926,0.01393000,0.01511000,0.01387000,0.01504000,3000787.00000000
SAHARAUSDT,1780972381000,2026-06-09T02:33:01,high,0.09273356,0.01445000,0.01579000,0.01443000,0.01505000,4648538.00000000
