symbol,event_ts_utc,event_ts_ms,event_type,signal_found,signal_ts_utc,signal_ts_ms,entry_price,peak_price,move_pct,exit_ts_utc,exit_ts_ms
SAHARAUSDT,2026-06-09T02:18:45,1780971525000,low,1,2026-06-09T02:18:41,1780971521000,0.03329000,0.02870000,13.787924,2026-06-09T02:18:45,1780971525000
SAHARAUSDT,2026-06-09T02:18:48,1780971528000,low,1,2026-06-09T02:18:41,1780971521000,0.03329000,0.02562000,23.039952,2026-06-09T02:18:48,1780971528000
SAHARAUSDT,2026-06-09T02:18:52,1780971532000,low,1,2026-06-09T02:18:41,1780971521000,0.03329000,0.02232000,32.952839,2026-06-09T02:18:52,1780971532000
SAHARAUSDT,2026-06-09T02:23:15,1780971795000,high,0,,,,0.01880000,,2026-06-09T02:23:15,1780971795000
SAHARAUSDT,2026-06-09T02:24:22,1780971862000,low,1,2026-06-09T02:23:28,1780971808000,0.01733000,0.01400000,19.215234,2026-06-09T02:24:22,1780971862000
SAHARAUSDT,2026-06-09T02:26:26,1780971986000,high,1,2026-06-09T02:25:30,1780971930000,0.01716000,0.01750000,1.981352,2026-06-09T02:26:26,1780971986000
SAHARAUSDT,2026-06-09T02:29:08,1780972148000,high,1,2026-06-09T02:28:31,1780972111000,0.01450000,0.01651000,13.862069,2026-06-09T02:29:08,1780972148000
SAHARAUSDT,2026-06-09T02:30:58,1780972258000,high,1,2026-06-09T02:29:59,1780972199000,0.01519000,0.01479000,-2.633311,2026-06-09T02:30:58,1780972258000
SAHARAUSDT,2026-06-09T02:31:15,1780972275000,high,1,2026-06-09T02:30:16,1780972216000,0.01441000,0.01511000,4.857738,2026-06-09T02:31:15,1780972275000
SAHARAUSDT,2026-06-09T02:33:01,1780972381000,high,1,2026-06-09T02:32:26,1780972346000,0.01364000,0.01579000,15.762463,2026-06-09T02:33:01,1780972381000
