symbol,signal_ts_ms,signal_utc,direction,entry_price,event_found,event_ts_ms,event_utc,event_peak,move_pct
ICNTUSDT,1781003923000,2026-06-09T11:18:43+00:00,high,0.22040000,0,,,,
JELLYJELLYUSDT,1781005862000,2026-06-09T11:51:02+00:00,high,0.06033000,0,,,,
XPINUSDT,1781005921000,2026-06-09T11:52:01+00:00,low,0.00117100,0,,,,
RIFUSDT,1781006344000,2026-06-09T11:59:04+00:00,high,0.06091000,0,,,,
SOLVUSDT,1781007284000,2026-06-09T12:14:44+00:00,high,0.00333200,0,,,,
C98USDT,1781007417000,2026-06-09T12:16:57+00:00,high,0.01465000,0,,,,
AGTUSDT,1781007509000,2026-06-09T12:18:29+00:00,high,0.01605200,0,,,,
STARUSDT,1781007644000,2026-06-09T12:20:44+00:00,low,0.16295000,0,,,,
EVAAUSDT,1781007800000,2026-06-09T12:23:20+00:00,high,0.34600000,1,1781007855000,2026-06-09T12:24:15+00:00,0.43830000,26.676301
ICNTUSDT,1781007996000,2026-06-09T12:26:36+00:00,low,0.22310000,0,,,,
