symbol,signal_ts_ms,signal_utc,direction,entry_price,vol_sum_1s
ICNTUSDT,1781003923000,2026-06-09T11:18:43+00:00,high,0.22040000,160898.00000000
JELLYJELLYUSDT,1781005862000,2026-06-09T11:51:02+00:00,high,0.06033000,1166728.00000000
XPINUSDT,1781005921000,2026-06-09T11:52:01+00:00,low,0.00117100,47200104.00000000
RIFUSDT,1781006344000,2026-06-09T11:59:04+00:00,high,0.06091000,645543.00000000
SOLVUSDT,1781007284000,2026-06-09T12:14:44+00:00,high,0.00333200,27256793.00000000
C98USDT,1781007417000,2026-06-09T12:16:57+00:00,high,0.01465000,3900810.00000000
AGTUSDT,1781007509000,2026-06-09T12:18:29+00:00,high,0.01605200,2210676.00000000
STARUSDT,1781007644000,2026-06-09T12:20:44+00:00,low,0.16295000,47182.00000000
EVAAUSDT,1781007800000,2026-06-09T12:23:20+00:00,high,0.34600000,126423.20000000
ICNTUSDT,1781007996000,2026-06-09T12:26:36+00:00,low,0.22310000,223051.00000000
